,DrugA,DrugB
0,Vardenafil,Telmisartan
1,Clonidine,Pentoxifylline
2,Clomipramine,Mirabegron
3,Desipramine,Perampanel
4,Levodopa,Hydralazine
5,Interferon alfa-n3,Methadone
6,Caffeine,Deferasirox
7,Flurbiprofen,Acenocoumarol
8,Dextroamphetamine,Fluspirilene
9,Deferasirox,Tolvaptan
10,Saquinavir,Rolapitant
11,Tacrine,Pizotifen
12,Minocycline,Doxepin
13,Torasemide,Phenobarbital
14,Octreotide,Quinidine
15,Fondaparinux,Heparin
16,Budesonide,Ceritinib
17,Ethanol,Quazepam
18,Irinotecan,Idelalisib
19,Phenelzine,Bretylium
20,Lorazepam,Tasimelteon
21,Docetaxel,Sipuleucel-T
22,Brimonidine,Quinapril
23,Progesterone,Warfarin
24,Norepinephrine,Dihydrocodeine
25,Abciximab,Sulindac
26,Fosphenytoin,Cannabidiol
27,Itraconazole,Fosphenytoin
28,Lorazepam,Atropine
29,Buprenorphine,Eluxadoline
30,Ketoconazole,Crizotinib
31,Hydrochlorothiazide,Chlorpheniramine
32,Clomipramine,Tedizolid phosphate
33,Aldesleukin,Amlodipine
34,Norethisterone,Human C1-esterase inhibitor
35,Aprepitant,Levomilnacipran
36,Itraconazole,Estazolam
37,Trastuzumab,Mitomycin
38,Pimozide,Rufinamide
39,Fluvastatin,Bezafibrate
40,Perampanel,Sodium oxybate
41,Formoterol,Aminophylline
42,Benzphetamine,Thiothixene
43,Midodrine,Acetaminophen
44,Methylphenidate,Eprosartan
45,Doxylamine,Desflurane
46,Doxorubicin,Tesmilifene
47,Valsartan,Isosorbide
48,Clarithromycin,Estazolam
49,Medroxyprogesterone acetate,Acenocoumarol
50,Sunitinib,Colchicine
51,Fluphenazine,Trazodone
52,Mifepristone,Eliglustat
53,Octreotide,Vemurafenib
54,Tamoxifen,Abiraterone
55,Citalopram,Promazine
56,Nisoldipine,Atosiban
57,Efavirenz,Hydrocodone
58,Testosterone,Mifepristone
59,Phenelzine,Almotriptan
60,Hyaluronidase (ovine),Budesonide
61,Sertraline,Glucosamine
62,Betamethasone,Chlorpropamide
63,Digoxin,Glycopyrronium
64,Ridogrel,Rivaroxaban
65,Demeclocycline,Iron sucrose
66,Phenytoin,Propafenone
67,Cilostazol,Isavuconazonium
68,Natalizumab,Dexamethasone
69,Stiripentol,Brexpiprazole
70,Pramipexole,Azelastine
71,Boceprevir,Vemurafenib
72,Phenylpropanolamine,Formoterol
73,Ritonavir,Clopidogrel
74,Ascorbic acid,Norethisterone
75,Ranolazine,Carfilzomib
76,Ritonavir,Fentanyl
77,Oxaprozin,Dasatinib
78,Desipramine,Sodium oxybate
79,Levonorgestrel,Tolbutamide
80,Nevirapine,Fosamprenavir
81,Amphetamine,Orciprenaline
82,Indomethacin,Citric acid
83,Haloperidol,Rasagiline
84,Ridogrel,Floctafenine
85,Clotrimazole,Pimozide
86,Paroxetine,Sunitinib
87,Tolterodine,Simeprevir
88,Rifapentine,Vortioxetine
89,Secobarbital,Nitrendipine
90,Metoclopramide,Aripiprazole
91,Domperidone,Cobicistat
92,Dofetilide,Bumetanide
93,Dronedarone,Ibrutinib
94,Celecoxib,Dalteparin
95,Cimetidine,Doxepin
96,Pimecrolimus,Ifosfamide
97,Insulin lispro,Norgestimate
98,Doxylamine,Dronabinol
99,Orciprenaline,Terbutaline
100,Benazepril,Molsidomine
101,Methylprednisolone,Boceprevir
102,Quetiapine,Vildagliptin
103,Trichlormethiazide,Alogliptin
104,Prucalopride,Dienogest
105,Voriconazole,Nicardipine
106,Tramadol,Telaprevir
107,Pimozide,Fosamprenavir
108,Fluphenazine,Umeclidinium
109,Irbesartan,Obinutuzumab
110,Lapatinib,Tesmilifene
111,Tacrolimus,Fosphenytoin
112,Phenytoin,Ketoconazole
113,Itraconazole,Daclatasvir
114,Desipramine,Rotigotine
115,Insulin lispro,Albiglutide
116,Benzquinamide,Vortioxetine
117,Dronabinol,Tranylcypromine
118,Clorazepic acid,Magnesium sulfate
119,Tesmilifene,Riociguat
120,Ospemifene,Ceritinib
121,Promazine,Maprotiline
122,Levothyroxine,Magnesium chloride
123,Hydrocortisone,Insulin aspart
124,Tacrolimus,Oxaprozin
125,Pindolol,Diazoxide
126,Meclizine,Tapentadol
127,Betaxolol,Butabarbital
128,Gentamicin,Amdinocillin
129,Nisoldipine,Mitotane
130,St. John's Wort,Hydroxyprogesterone caproate
131,Topiramate,Levocetirizine
132,Aminophylline,Bromazepam
133,Alfentanil,Trichlormethiazide
134,Acarbose,Sparfloxacin
135,Mefenamic acid,Perindopril
136,Aprepitant,Dabrafenib
137,Carphenazine,Metamfetamine
138,Chlorthalidone,Sulpiride
139,Felodipine,Levodopa
140,Ethanol,Pimozide
141,Olanzapine,Cloxazolam
142,Loxapine,Naratriptan
143,Repaglinide,Methotrimeprazine
144,Propranolol,Vemurafenib
145,Abciximab,Drospirenone
146,Methyclothiazide,Butabarbital
147,Phenytoin,Etacrynic acid
148,Mecamylamine,Sulfoxone
149,Tenecteplase,Dalteparin
150,Triflupromazine,Dextromethorphan
151,Bortezomib,Stiripentol
152,Mifepristone,Nifedipine
153,Methylprednisolone,Nicorandil
154,Candesartan cilexetil,Diazoxide
